# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
NonBlockingReadAction.failedExecutionTimeUs,1757267086833000000,1757267097447000000,0
AWTEventQueue.dispatchTimeTotalNS,1757267086833000000,1757267097447000000,7497122270
NonBlockingReadAction.finalizedExecutionsCount,1757267086833000000,1757267097447000000,17
NonBlockingReadAction.finalizedExecutionTimeUs,1757267086833000000,1757267097447000000,54676
NonBlockingReadAction.failedExecutionsCount,1757267086833000000,1757267097447000000,0
workspaceModel.check.recursive.update.ms,1757267086833000000,1757267097447000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1757267086833000000,1757267097447000000,0
workspaceModel.replace.project.model.ms,1757267086833000000,1757267097447000000,0
workspaceModel.update.unloaded.entities.ms,1757267086833000000,1757267097447000000,0
workspaceModel.updates.count,1757267086833000000,1757267097447000000,0
workspaceModel.loading.from.cache.ms,1757267086833000000,1757267097447000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1757267086833000000,1757267097447000000,0
workspaceModel.updates.precise.ms,1757267086833000000,1757267097447000000,0
workspaceModel.on.changed.ms,1757267086833000000,1757267097447000000,0
workspaceModel.pre.handlers.ms,1757267086833000000,1757267097447000000,0
workspaceModel.initializing.ms,1757267086833000000,1757267097447000000,0
workspaceModel.cachedValue.total.get.count,1757267086833000000,1757267097447000000,7
workspaceModel.cachedValue.clear.count,1757267086833000000,1757267097447000000,0
workspaceModel.full.replace.project.model.ms,1757267086833000000,1757267097447000000,0
workspaceModel.to.snapshot.ms,1757267086833000000,1757267097447000000,0
workspaceModel.cachedValueWithParameters.clear.count,1757267086833000000,1757267097447000000,0
workspaceModel.cachedValue.calculated.count,1757267086833000000,1757267097447000000,1
workspaceModel.loading.total.ms,1757267086833000000,1757267097447000000,3
workspaceModel.on.before.changed.ms,1757267086833000000,1757267097447000000,0
workspaceModel.init.bridges.ms,1757267086833000000,1757267097447000000,0
workspaceModel.collect.changes.ms,1757267086833000000,1757267097447000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1757267086833000000,1757267097447000000,3
workspaceModel.cachedValueWithParameters.total.get.count,1757267086833000000,1757267097447000000,0
workspaceModel.cachedValue.from.cache.count,1757267086833000000,1757267097447000000,6
workspaceModel.updates.ms,1757267086833000000,1757267097447000000,0
writeAction.max.wait.ms,1757267086833000000,1757267097447000000,0
DiskQueryRelay.tasksRequested,1757267086833000000,1757267097447000000,14
writeAction.median.wait.ms,1757267086833000000,1757267097447000000,0
DiskQueryRelay.taskExecutionTotalTimeUs,1757267086833000000,1757267097447000000,901
writeAction.count,1757267086833000000,1757267097447000000,2
writeAction.wait.ms,1757267086833000000,1757267097447000000,0
DiskQueryRelay.taskWaitingTotalTimeUs,1757267086833000000,1757267097447000000,968
DiskQueryRelay.tasksExecuted,1757267086833000000,1757267097447000000,14
VFS.invertedFileNameIndex.requests,1757267086833000000,1757267097447000000,0
VFS.fileByIdCache.misses,1757267086833000000,1757267097447000000,0
VFS.fileChildByName,1757267086833000000,1757267097447000000,13
VFS.fileByIdCache.hits,1757267086833000000,1757267097447000000,0
FilePageCacheLockFree.nativeBytesInUse,1757267086833000000,1757267097447000000,0
FilePageCache.pageHits,1757267086833000000,1757267097447000000,0
FilePageCacheLockFree.totalPagesRequested,1757267086833000000,1757267097447000000,0
FilePageCacheLockFree.heapBytesInUse,1757267086833000000,1757267097447000000,0
FilePageCacheLockFree.totalPagesWriteMs,1757267086833000000,1757267097447000000,0
DirectByteBufferAllocator.disposed,1757267086833000000,1757267097447000000,146
StorageLockContext.competingThreads.max,1757267086833000000,1757267097447000000,0
FilePageCache.totalPageDisposalsUs,1757267086833000000,1757267097447000000,934
FilePageCacheLockFree.totalPagesAllocated,1757267086833000000,1757267097447000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1757267086833000000,1757267097447000000,0
FilePageCacheLockFree.housekeeperTurnsDone,1757267086833000000,1757267097447000000,0
FilePageCache.maxCacheSizeInBytes,1757267086833000000,1757267097447000000,195035136
DirectByteBufferAllocator.reclaimed,1757267086833000000,1757267097447000000,43
FilePageCacheLockFree.totalNativeBytesReclaimed,1757267086833000000,1757267097447000000,0
FilePageCacheLockFree.totalBytesRequested,1757267086833000000,1757267097447000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1757267086833000000,1757267097447000000,0
FilePageCache.capacityInBytes,1757267086833000000,1757267097447000000,503316478
StorageLockContext.competingThreads.90P,1757267086833000000,1757267097447000000,0
FilePageCache.totalPageLoadsUs,1757267086833000000,1757267097447000000,83344
FilePageCacheLockFree.totalPagesHandedOver,1757267086833000000,1757267097447000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1757267086833000000,1757267097447000000,41943040
FilePageCacheLockFree.housekeeperTurnsSkipped,1757267086833000000,1757267097447000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1757267086833000000,1757267097447000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1757267086833000000,1757267097447000000,0
FilePageCache.pageFastCacheHits,1757267086833000000,1757267097447000000,13115
FilePageCacheLockFree.totalBytesRead,1757267086833000000,1757267097447000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1757267086833000000,1757267097447000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1757267086833000000,1757267097447000000,0
FilePageCacheLockFree.totalBytesWritten,1757267086833000000,1757267097447000000,0
FilePageCache.maxRegisteredFiles,1757267086833000000,1757267097447000000,518
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1757267086833000000,1757267097447000000,41943040
FilePageCache.pageLoadsAboveSizeThreshold,1757267086833000000,1757267097447000000,0
FilePageCache.disposedBuffers,1757267086833000000,1757267097447000000,189
FilePageCache.uncachedFileAccess,1757267086833000000,1757267097447000000,328
FilePageCacheLockFree.housekeeperTimeSpentMs,1757267086833000000,1757267097447000000,0
DirectByteBufferAllocator.hits,1757267086833000000,1757267097447000000,3
FilePageCacheLockFree.totalPagesReadMs,1757267086833000000,1757267097447000000,0
FilePageCache.pageLoads,1757267086833000000,1757267097447000000,189
FilePageCacheLockFree.totalPagesReclaimed,1757267086833000000,1757267097447000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1757267086833000000,1757267097447000000,0
DirectByteBufferAllocator.misses,1757267086833000000,1757267097447000000,186
StorageLockContext.competingThreads.avg,1757267086833000000,1757267097447000000,0.0
FilePageCacheLockFree.totalPagesWritten,1757267086833000000,1757267097447000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1757267086833000000,1757267097447000000,0
Indexing.totalTimeIndexersSleptMs,1757267086833000000,1757267097447000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1757267086833000000,1757267097447000000,0
Indexing.cache.totalCacheMisses,1757267086833000000,1757267097447000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1757267086833000000,1757267097447000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1757267086833000000,1757267097447000000,0
Indexing.cache.totalCacheAccesses,1757267086833000000,1757267097447000000,0
Indexing.writesQueuedMin,1757267086833000000,1757267097447000000,9223372036854775807
Indexing.writesQueuedMax,1757267086833000000,1757267097447000000,0
Indexing.cache.totalCacheEvicted,1757267086833000000,1757267097447000000,0
cacheStateStorage.set.duration,1757267086833000000,1757267097447000000,11
cacheStateStorage.get.duration,1757267086833000000,1757267097447000000,0
cacheStateStorage.get.counter,1757267086833000000,1757267097447000000,10
cacheStateStorage.set.counter,1757267086833000000,1757267097447000000,7
workspaceModel.mutableEntityStorage.instances.count,1757267086833000000,1757267097447000000,3
workspaceModel.global.apply.state.to.project.ms,1757267086833000000,1757267097447000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1757267086833000000,1757267097447000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1757267086833000000,1757267097447000000,0
jps.save.global.entities.ms,1757267086833000000,1757267097447000000,3
